% Boots dataset from Thomas Munz
@RELATION boots

@ATTRIBUTE Brand {"BRIGGS", "Bugatti", "LUMBERJACK", "M-Shoes", "Reebok", "Rieker", "SALAMANDER", "Thomas Munz", "Thomas Munz black", "U.S. POLO ASSN."}
@ATTRIBUTE Type {"Ботинки", "Ботинки work boots", "Треки"}
@ATTRIBUTE Color {"Бежевый", "Белый", "Желтый", "Зеленый", "Коричневый", "Мульти", "Песочный", "Рыжий", "Серый", "Синий", "Хаки", "Черный"}
@ATTRIBUTE Gender {"Муж."}
@ATTRIBUTE Season {"Весна-осень", "Зима"}
@ATTRIBUTE Price NUMERIC
@ATTRIBUTE Old price NUMERIC
@ATTRIBUTE Upper Material {"Велюр", "Замша", "Искусственная кожа", "КРС", "Кожа из спилка", "Натуральная кожа", "Нубук", "Спилок", "Текстиль", "Шевро"}
@ATTRIBUTE Lining Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Полушерсть", "Спилок", "Текстиль", "Шерсть"}
@ATTRIBUTE Insole Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "КРС", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Текстиль", "Шевро", "Шерсть"}
@ATTRIBUTE Sole Material {"Полиуретан", "Резина", "ТЭП", "ЭВА"}
@ATTRIBUTE Perforation {"Без перфорации", "Декоративная", "Нет"}
@ATTRIBUTE Closure Type {"Молния", "Молния/Пряжка", "Молния/Резинка", "Молния/Шнурки", "Резинка", "Шнурки"}
@ATTRIBUTE Heel Height (mm) NUMERIC
@ATTRIBUTE Upper Height (mm) NUMERIC
@ATTRIBUTE Width NUMERIC

@DATA
"Thomas Munz","Ботинки","Черный","Муж.","Весна-осень",6749.0,13499.0,"Натуральная кожа","Ворсин","Ворсин","ЭВА","Нет","Молния/Шнурки",35,135,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Весна-осень",4999.0,13499.0,"Натуральная кожа","Ворсин","Ворсин","ЭВА","Нет","Молния/Шнурки",35,135,6
"SALAMANDER","Ботинки work boots","Бежевый","Муж.","Весна-осень",3999.0,16099.0,"Спилок","Ворсин","Ворсин","ЭВА","Нет","Молния/Шнурки",38,120,6
"SALAMANDER","Ботинки work boots","Синий","Муж.","Весна-осень",8049.0,16099.0,"Спилок","Ворсин","Ворсин","ЭВА","Нет","Молния/Шнурки",38,120,6
"Thomas Munz","Ботинки","Черный","Муж.","Весна-осень",4999.0,9999.0,"Кожа из спилка","Ворсин","Ворсин","ТЭП","Нет","Молния/Шнурки",30,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Весна-осень",4999.0,13399.0,"Натуральная кожа","Ворсин","Ворсин","ЭВА","Декоративная","Молния/Шнурки",38,105,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Весна-осень",4999.0,9999.0,"Кожа из спилка","Ворсин","Ворсин","ТЭП","Нет","Молния/Шнурки",30,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Весна-осень",4999.0,12599.0,"Натуральная кожа","Ворсин","Ворсин","Резина","Нет","Молния/Шнурки",30,100,6
"Thomas Munz","Ботинки","Черный","Муж.","Весна-осень",6299.0,12599.0,"Натуральная кожа","Ворсин","Ворсин","Резина","Нет","Молния/Шнурки",30,100,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Весна-осень",4999.0,13399.0,"Натуральная кожа","Ворсин","Ворсин","ЭВА","Декоративная","Молния/Шнурки",38,105,6
